800041723-4;AMCOR RIGID PACKAGING DE COLOM;41870;1188000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41873;1386000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;41899;18211050,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42046;26027100,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42048;18958500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42049;13711500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42143;7326000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42267;940500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42274;4935150,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42275;6415200,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42278;3663000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42280;3366000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42281;1584000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42342;11464200,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42343;21334500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42344;16285500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42345;12513600,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42429;7464600,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42430;12424500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42433;11286000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42443;1980000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42480;4405500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42482;12315600,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42483;594000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42484;2970000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42485;1980000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42486;3613500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42487;5544000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42756;21285000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42757;19740600,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42758;13582800,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42780;17829900,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42782;18988200,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42783;12969000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42784;10444500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42898;594000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42899;2772000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;42900;9801000,00
