   830043084-4;C I CARBOCOQUE S A            ;40546;5300262
   830043084-4;C I CARBOCOQUE S A            ;40547;5369562
   830043084-4;C I CARBOCOQUE S A            ;40553;5317488
   830043084-4;C I CARBOCOQUE S A            ;40767;4946733
   830043084-4;C I CARBOCOQUE S A            ;40768;4921686
   830043084-4;C I CARBOCOQUE S A            ;40769;4985492
   830043084-4;C I CARBOCOQUE S A            ;40770;4857732
   830043084-4;C I CARBOCOQUE S A            ;40840;4751208
   830043084-4;C I CARBOCOQUE S A            ;40841;4724874
   830043084-4;C I CARBOCOQUE S A            ;40842;4716558
   830043084-4;C I CARBOCOQUE S A            ;40843;4706856
   830043084-4;C I CARBOCOQUE S A            ;40844;4771998
   830043084-4;C I CARBOCOQUE S A            ;40845;4989798
   830043084-4;C I CARBOCOQUE S A            ;40846;4735962
   830043084-4;C I CARBOCOQUE S A            ;40847;4988362
   830043084-4;C I CARBOCOQUE S A            ;40848;4876394
   830043084-4;C I CARBOCOQUE S A            ;40849;4949604
   830043084-4;C I CARBOCOQUE S A            ;40925;4752594
   830043084-4;C I CARBOCOQUE S A            ;40926;4597362
   830043084-4;C I CARBOCOQUE S A            ;40927;4771998
   830043084-4;C I CARBOCOQUE S A            ;40928;4826052
   830043084-4;C I CARBOCOQUE S A            ;40930;4916588
   830043084-4;C I CARBOCOQUE S A            ;40931;4906539
   830043084-4;C I CARBOCOQUE S A            ;40932;4952178
   830043084-4;C I CARBOCOQUE S A            ;40933;5065880
   830043084-4;C I CARBOCOQUE S A            ;40934;4976878
   830043084-4;C I CARBOCOQUE S A            ;40935;5019944
   830043084-4;C I CARBOCOQUE S A            ;40936;4769226
   830043084-4;C I CARBOCOQUE S A            ;40937;4877829
   830043084-4;C I CARBOCOQUE S A            ;40938;4995540
   830043084-4;C I CARBOCOQUE S A            ;40939;4932378
   830043084-4;C I CARBOCOQUE S A            ;40985;4841942
   830043084-4;C I CARBOCOQUE S A            ;41126;4694382
   830043084-4;C I CARBOCOQUE S A            ;41139;4788630
   830043084-4;C I CARBOCOQUE S A            ;41143;4976878
   830043084-4;C I CARBOCOQUE S A            ;41144;4734576
   830043084-4;C I CARBOCOQUE S A            ;41145;4824666
   830043084-4;C I CARBOCOQUE S A            ;41148;4795560
   830043084-4;C I CARBOCOQUE S A            ;41149;4969701
   830043084-4;C I CARBOCOQUE S A            ;41150;4704084
   830043084-4;C I CARBOCOQUE S A            ;41177;4994104
   830043084-4;C I CARBOCOQUE S A            ;41179;5047218
   830043084-4;C I CARBOCOQUE S A            ;41180;4676364
   830043084-4;C I CARBOCOQUE S A            ;41181;4989600
   830043084-4;C I CARBOCOQUE S A            ;41182;4986927
   830043084-4;C I CARBOCOQUE S A            ;41183;4945298
   830043084-4;C I CARBOCOQUE S A            ;41184;4961088
   830043084-4;C I CARBOCOQUE S A            ;41185;4923765
   830043084-4;C I CARBOCOQUE S A            ;41186;4727646
   830043084-4;C I CARBOCOQUE S A            ;41226;4847684
   830043084-4;C I CARBOCOQUE S A            ;41227;4880700
   830043084-4;C I CARBOCOQUE S A            ;41395;4681908
   830043084-4;C I CARBOCOQUE S A            ;41396;4691610
   830043084-4;C I CARBOCOQUE S A            ;41397;4851000
   830043084-4;C I CARBOCOQUE S A            ;41399;4741506
   830043084-4;C I CARBOCOQUE S A            ;41400;4755366
   830043084-4;C I CARBOCOQUE S A            ;41401;4952475
   830043084-4;C I CARBOCOQUE S A            ;41402;5011330
   830043084-4;C I CARBOCOQUE S A            ;41403;4903668
   830043084-4;C I CARBOCOQUE S A            ;41404;4844812
   830043084-4;C I CARBOCOQUE S A            ;41436;4882136
   830043084-4;C I CARBOCOQUE S A            ;41448;4841942
   830043084-4;C I CARBOCOQUE S A            ;41451;4925200
   830043084-4;C I CARBOCOQUE S A            ;41452;4999846
   830043084-4;C I CARBOCOQUE S A            ;41453;4683294
   830043084-4;C I CARBOCOQUE S A            ;41454;4935249
   830043084-4;C I CARBOCOQUE S A            ;41455;5009895
   830043084-4;C I CARBOCOQUE S A            ;41493;4923765
   830043084-4;C I CARBOCOQUE S A            ;41559;4698540
   830043084-4;C I CARBOCOQUE S A            ;41560;5002718
   830043084-4;C I CARBOCOQUE S A            ;41565;5121864
   830043084-4;C I CARBOCOQUE S A            ;41647;4647258
   830043084-4;C I CARBOCOQUE S A            ;41713;4854861
   830043084-4;C I CARBOCOQUE S A            ;41724;4870652
   830043084-4;C I CARBOCOQUE S A            ;41814;4927082
   830043084-4;C I CARBOCOQUE S A            ;41834;4968266
   830043084-4;C I CARBOCOQUE S A            ;41836;4953910
   830043084-4;C I CARBOCOQUE S A            ;41837;4949604
   830043084-4;C I CARBOCOQUE S A            ;41838;4962524
   830043084-4;C I CARBOCOQUE S A            ;41839;4692996
   830043084-4;C I CARBOCOQUE S A            ;41841;5021379
   900901001-9;CALA COLOMBIA S.A.S.          ;40974;14196600
   900901001-9;CALA COLOMBIA S.A.S.          ;41221;11539440
   900901001-9;CALA COLOMBIA S.A.S.          ;41222;5024250
   900901001-9;CALA COLOMBIA S.A.S.          ;41288;1534500
   900901001-9;CALA COLOMBIA S.A.S.          ;41450;13072950
   900901001-9;CALA COLOMBIA S.A.S.          ;41456;4811400
   900901001-9;CALA COLOMBIA S.A.S.          ;41520;26425080
   900901001-9;CALA COLOMBIA S.A.S.          ;41574;4653000
   900901001-9;CALA COLOMBIA S.A.S.          ;41818;4969800
   900901001-9;CALA COLOMBIA S.A.S.          ;41859;3385800
   900901001-9;CALA COLOMBIA S.A.S.          ;41860;2146320
   900901001-9;CALA COLOMBIA S.A.S.          ;41942;1534500
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;40921;53836200
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;40924;64902816
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41024;13900590
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41025;13266000
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41026;13266000
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41027;29700000
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41030;13266000
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41031;71920530
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41032;57111615
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41033;21443400
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41034;29700000
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41035;9943560
   901380949-1;CARIBEMAR DE LA COSTA SAS ESP ;41042;13018500
